,country,year,sex,age,suicides_no,population,suicidesper100k,gdp_for_year,gdp_per_capita,generation
27145,United States,2009,female,75+ years,389,11101144,3.5,"14,418,739,000,000",50563,Silent
27146,United States,2009,male,5-14 years,175,21139852,0.83,"14,418,739,000,000",50563,Generation Z
27147,United States,2009,female,5-14 years,90,20181953,0.45,"14,418,739,000,000",50563,Generation Z
27148,United States,2010,male,75+ years,2617,7263596,36.03,"14,964,372,000,000",51989,Silent
27149,United States,2010,male,35-54 years,11767,42798501,27.49,"14,964,372,000,000",51989,Generation X
27150,United States,2010,male,55-74 years,7287,27667895,26.34,"14,964,372,000,000",51989,Silent
27151,United States,2010,male,25-34 years,4645,20409866,22.76,"14,964,372,000,000",51989,Generation X
27152,United States,2010,male,15-24 years,3772,22463069,16.79,"14,964,372,000,000",51989,Millenials
27153,United States,2010,female,35-54 years,3604,42711237,8.44,"14,964,372,000,000",51989,Generation X
27154,United States,2010,female,55-74 years,2071,30326595,6.83,"14,964,372,000,000",51989,Silent
27155,United States,2010,female,25-34 years,1092,20180858,5.41,"14,964,372,000,000",51989,Generation X
27156,United States,2010,female,15-24 years,830,21395712,3.88,"14,964,372,000,000",51989,Millenials
27157,United States,2010,female,75+ years,403,11163521,3.61,"14,964,372,000,000",51989,Silent
27158,United States,2010,male,5-14 years,187,21207667,0.88,"14,964,372,000,000",51989,Generation Z
27159,United States,2010,female,5-14 years,87,20250632,0.43,"14,964,372,000,000",51989,Generation Z
27160,United States,2011,male,75+ years,2721,7448796,36.53,"15,517,926,000,000",53452,Silent
27161,United States,2011,male,35-54 years,11681,42566273,27.44,"15,517,926,000,000",53452,Generation X
27162,United States,2011,male,55-74 years,7572,28556351,26.52,"15,517,926,000,000",53452,Boomers
27163,United States,2011,male,25-34 years,4862,20698307,23.49,"15,517,926,000,000",53452,Millenials
27164,United States,2011,male,15-24 years,3959,22622559,17.5,"15,517,926,000,000",53452,Millenials
27165,United States,2011,female,35-54 years,3776,42485156,8.89,"15,517,926,000,000",53452,Generation X
27166,United States,2011,female,55-74 years,2128,31268702,6.81,"15,517,926,000,000",53452,Boomers
27167,United States,2011,female,25-34 years,1238,20408037,6.07,"15,517,926,000,000",53452,Millenials
27168,United States,2011,female,15-24 years,863,21552069,4.0,"15,517,926,000,000",53452,Millenials
27169,United States,2011,female,75+ years,421,11270969,3.74,"15,517,926,000,000",53452,Silent
27170,United States,2011,male,5-14 years,201,21185153,0.95,"15,517,926,000,000",53452,Generation Z
27171,United States,2011,female,5-14 years,86,20251453,0.42,"15,517,926,000,000",53452,Generation Z
27172,United States,2012,male,75+ years,2853,7633574,37.37,"16,155,255,000,000",55170,Silent
27173,United States,2012,male,35-54 years,11763,42326226,27.79,"16,155,255,000,000",55170,Generation X
27174,United States,2012,male,55-74 years,8032,29473157,27.25,"16,155,255,000,000",55170,Boomers
27175,United States,2012,male,25-34 years,4985,21028158,23.71,"16,155,255,000,000",55170,Millenials
27176,United States,2012,male,15-24 years,3918,22713083,17.25,"16,155,255,000,000",55170,Millenials
27177,United States,2012,female,35-54 years,3857,42238495,9.13,"16,155,255,000,000",55170,Generation X
27178,United States,2012,female,55-74 years,2264,32244829,7.02,"16,155,255,000,000",55170,Boomers
27179,United States,2012,female,25-34 years,1231,20667924,5.96,"16,155,255,000,000",55170,Millenials
27180,United States,2012,female,15-24 years,954,21653970,4.41,"16,155,255,000,000",55170,Millenials
27181,United States,2012,female,75+ years,428,11375645,3.76,"16,155,255,000,000",55170,Silent
27182,United States,2012,male,5-14 years,226,21198150,1.07,"16,155,255,000,000",55170,Generation Z
27183,United States,2012,female,5-14 years,85,20273917,0.42,"16,155,255,000,000",55170,Generation Z
27184,United States,2013,male,75+ years,2990,7816638,38.25,"16,691,517,000,000",56520,Silent
27185,United States,2013,male,55-74 years,8445,30405404,27.77,"16,691,517,000,000",56520,Boomers
27186,United States,2013,male,35-54 years,11396,42085688,27.08,"16,691,517,000,000",56520,Generation X
27187,United States,2013,male,25-34 years,5063,21386891,23.67,"16,691,517,000,000",56520,Millenials
27188,United States,2013,male,15-24 years,3903,22735631,17.17,"16,691,517,000,000",56520,Millenials
27189,United States,2013,female,35-54 years,3776,41983845,8.99,"16,691,517,000,000",56520,Generation X
27190,United States,2013,female,55-74 years,2484,33229667,7.48,"16,691,517,000,000",56520,Boomers
27191,United States,2013,female,25-34 years,1285,20951958,6.13,"16,691,517,000,000",56520,Millenials
27192,United States,2013,female,15-24 years,975,21698877,4.49,"16,691,517,000,000",56520,Millenials
27193,United States,2013,female,75+ years,431,11486590,3.75,"16,691,517,000,000",56520,Silent
27194,United States,2013,male,5-14 years,252,21233001,1.19,"16,691,517,000,000",56520,Generation Z
27195,United States,2013,female,5-14 years,143,20308672,0.7,"16,691,517,000,000",56520,Generation Z
27196,United States,2014,male,75+ years,3106,7994948,38.85,"17,427,609,000,000",58531,Silent
27197,United States,2014,male,55-74 years,8961,31339875,28.59,"17,427,609,000,000",58531,Boomers
27198,United States,2014,male,35-54 years,11455,41858354,27.37,"17,427,609,000,000",58531,Generation X
27199,United States,2014,male,25-34 years,5222,21760455,24.0,"17,427,609,000,000",58531,Millenials
27200,United States,2014,male,15-24 years,4089,22700273,18.01,"17,427,609,000,000",58531,Millenials
27201,United States,2014,female,35-54 years,4018,41742299,9.63,"17,427,609,000,000",58531,Generation X
27202,United States,2014,female,55-74 years,2676,34193742,7.83,"17,427,609,000,000",58531,Boomers
27203,United States,2014,female,25-34 years,1347,21250636,6.34,"17,427,609,000,000",58531,Millenials
27204,United States,2014,female,15-24 years,990,21691057,4.56,"17,427,609,000,000",58531,Millenials
27205,United States,2014,female,75+ years,477,11616299,4.11,"17,427,609,000,000",58531,Silent
27206,United States,2014,male,5-14 years,277,21264881,1.3,"17,427,609,000,000",58531,Generation Z
27207,United States,2014,female,5-14 years,151,20336916,0.74,"17,427,609,000,000",58531,Generation Z
27208,United States,2015,male,75+ years,3171,8171136,38.81,"18,120,714,000,000",60387,Silent
27209,United States,2015,male,55-74 years,9068,32264697,28.11,"18,120,714,000,000",60387,Boomers
27210,United States,2015,male,35-54 years,11634,41658010,27.93,"18,120,714,000,000",60387,Generation X
27211,United States,2015,male,25-34 years,5503,22137097,24.86,"18,120,714,000,000",60387,Millenials
27212,United States,2015,male,15-24 years,4359,22615073,19.27,"18,120,714,000,000",60387,Millenials
27213,United States,2015,female,35-54 years,4053,41531809,9.76,"18,120,714,000,000",60387,Generation X
27214,United States,2015,female,55-74 years,2872,35115610,8.18,"18,120,714,000,000",60387,Boomers
27215,United States,2015,female,25-34 years,1444,21555712,6.7,"18,120,714,000,000",60387,Millenials
27216,United States,2015,female,15-24 years,1132,21633813,5.23,"18,120,714,000,000",60387,Millenials
27217,United States,2015,female,75+ years,540,11778666,4.58,"18,120,714,000,000",60387,Silent
27218,United States,2015,male,5-14 years,255,21273987,1.2,"18,120,714,000,000",60387,Generation Z
27219,United States,2015,female,5-14 years,158,20342901,0.78,"18,120,714,000,000",60387,Generation Z
